commodity_id,regions,time_slice,fraction
RSHEAT,all,winter.night,0.065498087
RSHEAT,all,winter.day,0.226148097
RSHEAT,all,winter.peak,0.111199678
RSHEAT,all,winter.evening,0.076688397
RSHEAT,all,peak.night,0.045882959
RSHEAT,all,peak.day,0.121987853
RSHEAT,all,peak.peak,0.068135438
RSHEAT,all,peak.evening,0.041334529
RSHEAT,all,summer.night,0.005698366
RSHEAT,all,summer.day,0.009494171
RSHEAT,all,summer.peak,0.003126411
RSHEAT,all,summer.evening,0.002327863
RSHEAT,all,autumn.night,0.037269058
RSHEAT,all,autumn.day,0.098086985
RSHEAT,all,autumn.peak,0.054500569
RSHEAT,all,autumn.evening,0.032621538
